user_id,country,affiliation,a_rate,h_rate
00A497,JP,,0,0
00SY0U,JP,,305,0
00double_zero,CN,,1104,0
00gz5k1,CN,,0,0
01005837408,EG,,8,0
0111kk2,JP,,5,0
011337,CN,15575312460,108,0
01190220csl,CN,Changzhou Senior High School of Jiangsu Province,2763,0
011redoan,BD,,2,0
01Abhinav,IN,,297,0
01H2A,EG,,91,0
01avinash,IN,,0,0
01orangew,CN,orangew,0,0
02Darling,CN,重庆邮电大学,126,0
02Ljh,CN,,125,0
02lccl,CN,,13,0
02qwerty,IN,,8,0
030helios,TW,,0,0
031109z,CN,齐鲁工业大学,9,0
03hcl,JP,,384,0
040329,CN,,39,0
0405misaki,JP,,0,0
04072005,AU,,156,0
04089,BD,,289,0
0409cd,CN,,0,0
0439041,CN,,0,0
0514171t,JP,,27,0
0529cc,CN,,17,0
05apurvabiswas,IN,,142,0
0606118087,CN,,2,0
07kzs,CN,,98,0
081204teddy,CN,,2,0
082_Rishikant,IN,,10,0
08310210,CN,,274,0
083_sagar,IN,,0,0
0855250956,VN,,343,0
08kevin,CN,,2033,0
08kevin2,CN,,1848,0
0901jbh,KR,,0,0
0928joon,KR,,2,0
0930_songzhiyu,CN,15902304044,0,0
09kt,JP,,42,0
09yama,JP,Gakushuin university,138,0
0Aster,CN,@Ling_Aster,35,0
0ChanAk,IN,,70,0
0_0shuv0_0,BD,,2,0
0a24,JP,,443,0
0abhay0,IN,,197,0
0c2550,JP,,190,0
0htoAi,JP,,664,0
0iq233,CN,,351,0
0jij0,LB,AUB,1679,0
0kq,JP,,14,0
0kushagra,IN,,100,0
0ll4,CN,,17,0
0mny5,JP,,62,0
0ni5an,JP,,313,0
0pacman0,IN,,12,0
0plushappy,TW,,2,0
0pointerLyj,CN,,586,0
0riso0,JP,,302,0
0v0NB,CN,,137,0
0x0100010,MA,,0,0
0x0584,MA,,29,0
0x15FBEF3,IN,,173,0
0x3f,CN,17551062294,0,0
0x4c,CN,,790,0
0x7fff,CN,,0,0
0xFF,CN,,1046,0
0xc0ffee,PG,,352,0
10000point,CN,,1402,0
10001001,IN,,2,0
1000TB,SY,,522,0
1000dai,JP,東京大学,418,0
1004764241,CN,,370,0
100_IQ,EG,,606,0
100kt_WNW,CN,,92,0
1016huobao,CN,,154,0
101rror,US,,30,0
1024mb,RU,,1464,0
104243,JP,,524,174
1049,JP,,71,0
1054885163,CN,,2,0
1058694738xyX,CN,,0,0
108yen,JP,,452,0
10M4,JP,,380,0
10Suicides,IN,IIT  BHU,3,0
10isiatama,JP,,231,73
10kumori,JP,鹿児島大学,18,0
10ner,CN,,121,0
10ya54,JP,,487,0
11029SeongMin,KR,0130,7,0
1106xss,JP,京都大学大学院,10,0
110qaz,CN,,90,0
1111,CN,,0,0
111112200,CN,2963002078@qq.com,21,0
1113030222,CN,,5,0
111_jjp,CN,,20,0
1120241532,CN,,340,0
112213,CN,,4,0
1123,JP,,1,0
112KA,JP,,29,0
1132478429,CN,,1200,0
1136864446,CN,1,111,0
1149387619,CN,,1353,0
11906036madina,BD,,138,0
11d10xy,CN,,743,0
11k,CN,,0,0
1205240810,CN,SZTU,1144,0
1207645327,CN,,9,0
1212Lu,CN,18170874810,16,0
1212_Lu,CN,18170874810,0,0
12138,CN,,0,0
1231,PY,,152,0
123123a,CN,,0,0
12316361767,CN,,0,0
12323455,JP,,8,0
123321_ryz,CN,,7,0
12345678abc,CN,13851912789,0,0
123456yyc,CN,,65,0
12345laofangzi,CN,student ,194,0
12345regfdsgs,JP,,0,51
1234ABC,BS,123321,3,0
1234abcd,BD,,9,0
1234r1234,BD,,23,0
123ERG,CN,,0,0
123abc,JP,,0,0
123alpha45,CN,,11,0
123k12,CN,,8,0
123mumaren,CN,,0,0
123nickname123,IN,,3,0
123saurabh123,IN,RGIPT,5,0
123yitianCGY,CN,海小,21,0
1265592548,CN,,2,0
12Arafat,BD,,0,0
130913,JP,Tohoku University,1536,0
1322707289,CN,3iccpc,386,0
13330121528,CN,,11,0
1346,CN,,549,0
1350gnayelttil,JP,yc_昊维杨,0,96
13583558705zzq,CN,,292,368
13624299551,CN,,2,0
1364,JP,,1,0
1366539068,CN,,23,0
13679amnno,BD,,22,0
1378764700,CN,,18,0
13814082610Cxl,CN,,7,34
13816974366,CN,,29,41
138182310488,CN,,6,0
1386838,CN,,0,0
13anantsh,IN,,0,0
13insara,JP,,2,0
140012lp,CN,,442,0
140625730,CN,,0,0
141Farmer,BD,,0,0
1425,CN,14790389237,0,0
1427314831a,CN,,921,0
142857,JP,,245,0
143325343,XX,,92,0
1434314294,CN,,2,0
14385423,CN,,75,0
1446435502,CN,,713,0
1473439561pp,CN,SEU,23,0
14741474,CN,,692,0
14yinheluo9tian,CN,,2,0
15050568080ppo,CN,我是妈妈的儿子。,1,0
1506869912,CN,,39,0
1514613660,CN,18373843013,358,0
1520193025,CN,,356,0
1520203382,CN,18296543453,4,0
15202812135,CN,,0,0
1522063,JP,Tokyo university of science,2,0
15454554,CN,sdfjsjdf,638,0
15501586834,CN,,8,0
1575371623,CN,,414,0
1578301118,CN,,52,0
1600ordie,IN,,317,0
16019mamun,BD,,2,0
160294w,JP,,254,0
1608686562,CN,17736561357,12,0
162rio,JP,,76,0
1664972664,CN,,3,0
16651300106,CN,,309,0
1672275768,CN,,108,0
1686581416,CN,19551661692,8,0
16ZhouSiYu,CN,,5,0
1714bjf,JP,,16,0
1727949032a,CN,,3,0
1729ld,JP,,391,0
