user_id,datetime,contest_id,old_rate,new_rate,perf
ak3,1615719600.0,ahc001,0,11,129
matchamura,1615719600.0,ahc001,0,11,129
akun0716,1615719600.0,ahc001,0,11,129
log5,1615719600.0,ahc001,0,11,129
motu84834,1615719600.0,ahc001,0,11,129
tinamori,1615719600.0,ahc001,0,11,129
drogskol,1615719600.0,ahc001,0,11,129
anshul17024,1615719600.0,ahc001,0,11,129
kostia244,1615719600.0,ahc001,0,11,129
sirogane0j,1615719600.0,ahc001,0,11,129
Nagaemon,1615719600.0,ahc001,0,11,129
chizuchizu,1615719600.0,ahc001,0,11,129
wanidon,1615719600.0,ahc001,0,11,129
nh11092,1615719600.0,ahc001,0,11,129
uyauya,1615719600.0,ahc001,0,11,129
Luzhiled,1615719600.0,ahc001,0,11,129
teepa,1615719600.0,ahc001,0,11,129
totori0908,1615719600.0,ahc001,0,11,129
ecasdqina,1615719600.0,ahc001,0,11,129
take000,1615719600.0,ahc001,0,11,129
ningenMe,1615719600.0,ahc001,0,11,129
Yuki_Utaai,1615719600.0,ahc001,0,11,129
Gosu_Hiroo,1615719600.0,ahc001,0,54,596
mlpk,1615719600.0,ahc001,0,11,129
eee_hoho,1615719600.0,ahc001,0,11,129
ruikanoh,1615719600.0,ahc001,0,11,129
Falco,1615719600.0,ahc001,0,11,129
sokamo,1615719600.0,ahc001,0,11,129
snowbird315,1615719600.0,ahc001,0,11,129
sotozaki,1615719600.0,ahc001,0,213,1147
ma2AtC,1615719600.0,ahc001,0,11,129
koromo,1615719600.0,ahc001,0,11,129
Jonah00,1615719600.0,ahc001,0,11,129
sksim,1615719600.0,ahc001,0,11,129
Nyuk,1615719600.0,ahc001,0,11,129
okkuu2,1615719600.0,ahc001,0,11,129
pyonth,1615719600.0,ahc001,0,11,129
SRyoya,1615719600.0,ahc001,0,11,129
smsiik,1615719600.0,ahc001,0,11,129
Pkodama,1615719600.0,ahc001,0,11,129
yamake,1615719600.0,ahc001,0,11,129
qwerty_16180339,1615719600.0,ahc001,0,11,129
Dimorphotheca,1615719600.0,ahc001,0,11,129
ashipan,1615719600.0,ahc001,0,208,1138
gmmtea,1615719600.0,ahc001,0,158,1029
tamacake39,1615719600.0,ahc001,0,264,1234
fmhr,1615719600.0,ahc001,0,247,1207
yuimyo,1615719600.0,ahc001,0,339,1334
Shigeki,1615719600.0,ahc001,0,280,1258
toyuzuko,1615719600.0,ahc001,0,272,1246
sa10,1615719600.0,ahc001,0,251,1213
tatsu,1615719600.0,ahc001,0,142,985
Apple_Boy,1615719600.0,ahc001,0,249,1211
Ack61,1615719600.0,ahc001,0,258,1224
genomas,1615719600.0,ahc001,0,262,1231
pirari,1615719600.0,ahc001,0,370,1369
laet,1615719600.0,ahc001,0,261,1229
sarada,1615719600.0,ahc001,0,246,1206
agajo,1615719600.0,ahc001,0,254,1218
AllDirections,1615719600.0,ahc001,0,314,1303
tukitoka,1615719600.0,ahc001,0,263,1233
Polina,1615719600.0,ahc001,0,251,1214
cocomoff,1615719600.0,ahc001,0,256,1221
mas,1615719600.0,ahc001,0,250,1212
iceslime1104,1615719600.0,ahc001,0,255,1220
sakaki,1615719600.0,ahc001,0,276,1251
Rintar000,1615719600.0,ahc001,0,254,1219
tamaron,1615719600.0,ahc001,0,268,1240
shim0,1615719600.0,ahc001,0,269,1241
KameKun,1615719600.0,ahc001,0,328,1321
taromi22,1615719600.0,ahc001,0,246,1205
YeahPotato,1615719600.0,ahc001,0,267,1239
maguroguma,1615719600.0,ahc001,0,281,1259
pierrot1123,1615719600.0,ahc001,0,318,1308
amaguri0408,1615719600.0,ahc001,0,274,1249
sryr,1615719600.0,ahc001,0,293,1276
eiya,1615719600.0,ahc001,0,273,1247
arc,1615719600.0,ahc001,0,221,1163
RunGood,1615719600.0,ahc001,0,262,1230
shama,1615719600.0,ahc001,0,263,1232
m_m,1615719600.0,ahc001,0,277,1253
skyline,1615719600.0,ahc001,0,269,1242
petit_sophia,1615719600.0,ahc001,0,274,1248
zenito9970,1615719600.0,ahc001,0,266,1237
dannygo,1615719600.0,ahc001,0,265,1235
lotus0509,1615719600.0,ahc001,0,267,1238
maspy,1615719600.0,ahc001,0,272,1245
reborn18,1615719600.0,ahc001,0,265,1236
eiuru,1615719600.0,ahc001,0,271,1244
lemonpeach,1615719600.0,ahc001,0,278,1255
Personify20,1615719600.0,ahc001,0,282,1260
tamato,1615719600.0,ahc001,0,260,1228
Koki_tkg,1615719600.0,ahc001,0,275,1250
ysys_Ba,1615719600.0,ahc001,0,258,1225
Ysdr,1615719600.0,ahc001,0,278,1254
ToastUz,1615719600.0,ahc001,0,270,1243
oyaki,1615719600.0,ahc001,0,241,1198
swimcamera,1615719600.0,ahc001,0,235,1187
ikd,1615719600.0,ahc001,0,230,1178
nemoi,1615719600.0,ahc001,0,253,1217
COOH2,1615719600.0,ahc001,0,228,1176
lucifer1004,1615719600.0,ahc001,0,276,1252
negibose2020,1615719600.0,ahc001,0,233,1184
noya2,1615719600.0,ahc001,0,244,1203
STInverSpinel,1615719600.0,ahc001,0,231,1180
huikang,1615719600.0,ahc001,0,226,1172
prabowo,1615719600.0,ahc001,0,230,1179
