main_lang,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
C,933.4230769230769,869.1031031031031,821.3213828425096,732.3504098360655,643.6167979002624,555.4375,501.51116951379765,406.2304832713755,329.1422287390029,240.31841432225065,181.97464788732395,89.65029761904762,31.123595505617978
C#,808.9943502824859,839.4758620689655,746.3550295857988,687.3272727272728,588.608938547486,521.1638418079096,478.63448275862066,359.10596026490066,309.72549019607845,207.50735294117646,145.9448818897638,64.70454545454545,22.72222222222222
C++,754.6502026342451,726.4542108491806,664.8525807649462,597.5757697456493,517.9071161048689,458.4308726264135,399.5089581950896,330.8098364569655,257.25786103412025,196.33125300048007,139.56686585617143,78.54410043621662,27.594956253216676
Go,885.6530612244898,830.4328358208955,740.4,623.6949152542373,570.2087912087912,504.7733333333333,466.45714285714286,403.94117647058823,302.73846153846154,228.9142857142857,147.24615384615385,85.53488372093024,20.390243902439025
Java,863.920227920228,860.2116903633491,767.3544973544973,688.7257525083612,587.649762282092,523.2426273458445,477.644908616188,393.08527131782944,310.8940520446097,229.40630182421228,161.40901502504173,81.52222222222223,27.22087378640777
JavaScript,974.2307692307693,909.0114285714286,796.1494252873563,680.1898734177215,619.856,547.8595041322315,473.2631578947368,420.22727272727275,319.0,243.60714285714286,165.64615384615385,85.07272727272728,30.012048192771083
PHP,965.0833333333334,879.3846153846154,855.7450980392157,748.9183673469388,641.1315789473684,568.2637362637363,489.73972602739724,432.04761904761904,318.57971014492756,251.48684210526315,170.47457627118644,92.93877551020408,25.742857142857144
PyPy,541.9234828496042,557.2677685950413,546.5231481481482,472.6057971014493,402.7008695652174,366.3899159663866,316.58351893095767,256.7238805970149,223.1629778672032,146.59591836734694,112.91857506361323,68.77142857142857,22.21285140562249
Python,806.4086061051858,776.6101768945184,725.0322195704057,654.9437984496124,564.868954248366,501.7648655986967,437.8929952728835,354.1055985434684,298.25555555555553,213.91375698324023,146.4506329113924,84.70018416206261,25.15956678700361
Ruby,888.3511111111111,821.6348547717843,725.224,656.7,588.9593023255813,508.1006711409396,452.75373134328356,365.18,291.86238532110093,220.8640776699029,152.53571428571428,84.66990291262135,24.266666666666666
misc,767.3783783783783,748.3013698630137,717.3705179282869,647.4,555.1503759398496,471.017094017094,431.17180616740086,361.55357142857144,297.9906976744186,228.31088082901553,144.02105263157895,72.24867724867725,24.840336134453782
