python_rate,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
00%+,311.3872402026678,259.44550094385795,230.91280055871496,217.87554806070827,204.5232814012851,177.02610650069155,149.14756696782374,132.40099850224664,112.55759803921569,85.9571897951295,56.12547234627276,28.82534546090607,6.8620979020979025
10%+,561.4487179487179,475.86394557823127,439.86764705882354,381.9674418604651,392.4660194174757,318.9801324503311,289.2240663900415,243.17261904761904,212.75943396226415,180.79885057471265,105.26119402985074,54.47154471544715,23.288888888888888
20%+,537.5917431192661,452.5810055865922,400.1732673267327,409.95454545454544,371.33971291866027,303.48017621145374,266.1677419354839,244.2204724409449,166.80790960451978,158.27777777777777,97.10185185185185,47.931372549019606,17.975609756097562
30%+,572.0,474.11032028469754,432.9079754601227,372.14179104477614,366.5280898876405,312.3621621621622,250.88695652173914,242.95934959349594,175.58333333333334,151.5581395348837,110.16129032258064,44.0,11.702127659574469
40%+,566.8098159509202,501.4793388429752,468.24603174603175,384.36290322580646,363.09638554216866,343.78,281.2926829268293,223.32258064516128,179.2,152.52830188679246,121.8125,54.12676056338028,14.35
50%+,510.95604395604397,398.6216216216216,375.79333333333335,340.2985074626866,329.07361963190186,301.46543778801845,224.896,203.416,159.26717557251908,127.98684210526316,90.56382978723404,42.203539823008846,12.755102040816327
60%+,505.5820895522388,447.84751773049646,401.1543624161074,333.3728813559322,350.1676300578035,328.98,245.98529411764707,222.75892857142858,162.1811023622047,128.24193548387098,84.22826086956522,51.82142857142857,13.352941176470589
70%+,500.2628865979381,432.768253968254,380.24,401.39130434782606,338.0,287.688622754491,225.4793388429752,214.92307692307693,160.37962962962962,147.7094017094017,102.84615384615384,55.7906976744186,15.484848484848484
80%+,455.9805447470817,411.6292682926829,329.45212765957444,365.37142857142857,330.19502074688796,266.6653543307087,268.33742331288346,200.37190082644628,159.64117647058825,143.71604938271605,99.76923076923077,50.78181818181818,17.816326530612244
90%+,204.24946466809422,164.55255070682236,143.4223044397463,122.80484693877551,113.01691240242845,114.55765920826161,88.26848249027238,95.4488989271598,55.4424514200299,61.97042434633519,44.58850226928896,22.58072696534235,6.057738572574178
