user_id,join,duration,elapsed,main_lang,python_rate
10isiatama,2022-08-11 21:54:05,0 days 00:00:00,203 days 08:22:51.674328,PyPy,0.0
12345regfdsgs,2021-05-27 16:17:26,1 days 00:54:59,643 days 13:04:31.674328,C++,0.0
1350gnayelttil,2022-11-12 22:55:35,0 days 00:00:00,110 days 07:21:21.674328,Python,1.0
13583558705zzq,2021-09-14 13:55:47,423 days 07:21:52,111 days 08:59:17.674328,C++,0.13636363636363635
13814082610Cxl,2022-11-19 21:41:47,0 days 00:00:00,103 days 08:35:09.674328,C++,0.0
13816974366,2022-06-04 17:08:07,0 days 04:12:00,271 days 08:56:49.674328,C++,0.0
19k0034,2022-02-09 07:30:43,144 days 11:21:59,242 days 11:24:14.674328,PyPy,0.0
1Ac27,2022-03-26 15:07:38,33 days 18:10:11,307 days 20:59:07.674328,Python,1.0
1_no_se,2021-03-06 16:24:26,526 days 07:42:06,200 days 06:10:24.674328,C++,0.0
2020zhyzhy,2022-06-02 13:47:04,0 days 00:00:00,273 days 16:29:52.674328,Python,1.0
2bit,2022-03-26 15:02:00,307 days 21:25:33,33 days 17:49:23.674328,C++,0.1323529411764706
420801,2021-12-12 19:37:17,422 days 02:22:44,23 days 08:16:55.674328,Kotlin,0.009523809523809525
66ed3gs,2021-05-24 21:29:29,0 days 00:00:00,647 days 08:47:27.674328,Go,0.0
67468946,2023-01-28 17:04:32,0 days 00:00:00,33 days 13:12:24.674328,Python,1.0
8wings,2022-10-30 15:52:24,98 days 03:59:07,25 days 10:25:25.674328,PyPy,0.016129032258064516
A0ikun_1818,2022-02-12 13:23:55,217 days 01:55:33,166 days 14:57:28.674328,C++,0.0
A7075,2022-11-12 12:44:33,85 days 03:15:26,25 days 14:16:57.674328,C++,0.0
AAII,2022-02-12 22:38:06,0 days 00:00:00,383 days 07:38:50.674328,PyPy,0.0
AAurorakk,2022-07-16 23:25:26,27 days 01:19:24,202 days 05:32:06.674328,C++,0.3333333333333333
AB10c,2022-10-30 15:39:38,0 days 00:00:00,123 days 14:37:18.674328,C++,0.0
AC2K,2022-10-30 15:06:47,90 days 01:31:35,33 days 13:38:34.674328,C++,0.16666666666666666
AC961009,2021-12-12 16:24:04,0 days 00:59:09,445 days 12:53:43.674328,C++,0.0
ACCUP,2021-06-26 16:02:20,585 days 07:00:50,29 days 07:13:46.674328,C++,0.0
AC_123456,2022-06-27 22:39:33,0 days 00:00:00,248 days 07:37:23.674328,C++,0.0
AC_Automation,2022-03-26 17:08:48,178 days 21:08:57,162 days 15:59:11.674328,C++,0.0
AC_Prince,2023-01-29 11:10:49,1 days 06:58:38,31 days 12:07:29.674328,Python,1.0
AC_TLE,2021-03-06 12:09:34,50 days 10:43:44,676 days 07:23:38.674328,C++,0.0
ACamus,2022-02-17 17:17:12,270 days 03:18:53,108 days 09:40:51.674328,C++,0.0
AFOer,2021-03-07 16:11:10,153 days 02:00:07,572 days 12:05:39.674328,C++,0.0
AGE60,2022-01-04 07:16:27,0 days 03:55:03,422 days 19:05:26.674328,Swift,0.0
AIinfty,2022-07-09 18:36:42,33 days 17:33:20,202 days 18:06:54.674328,C++,0.0
AItale,2022-10-30 15:04:54,90 days 03:48:58,33 days 11:23:04.674328,C++,0.0
AMALIGADAY,2021-04-25 21:52:47,0 days 00:57:49,676 days 07:26:20.674328,C++,0.0
AMay_tan,2022-03-26 17:49:33,0 days 02:39:33,341 days 09:47:50.674328,Python,1.0
AQUADR0P,2022-05-28 23:25:27,1 days 05:01:21,277 days 01:50:08.674328,C++,0.0
ASHUN,2022-02-12 18:44:14,10 days 04:44:54,373 days 06:47:48.674328,PyPy,0.0
ASTR1104,2022-02-24 21:23:23,343 days 15:47:51,27 days 17:05:42.674328,C++,0.014285714285714285
AT274,2021-04-25 22:58:07,334 days 19:57:47,341 days 11:21:02.674328,PyPy,0.14
AYATYA,2022-04-24 17:37:51,0 days 01:18:18,312 days 11:20:47.674328,C,0.0
Abel51,2022-07-03 19:49:50,0 days 00:00:00,242 days 10:27:06.674328,PHP,0.0
Abeshi2002,2021-04-25 21:25:05,0 days 01:34:24,676 days 07:17:27.674328,C++,0.0
Ack61,2021-03-07 15:43:24,448 days 03:13:01,277 days 11:20:31.674328,Java,0.0
AconCavy,2021-03-07 04:49:59,602 days 12:38:18,123 days 12:48:39.674328,Rust,0.0
Acsz,2022-11-01 12:20:37,0 days 00:00:00,121 days 17:56:19.674328,C++,0.0
Adamas,2022-10-30 19:14:48,0 days 00:00:00,123 days 11:02:08.674328,PyPy,0.0
Age8,2022-02-14 15:00:36,350 days 03:22:24,31 days 11:53:56.674328,Python,0.9454545454545454
Ahmadsm2005,2021-08-07 19:13:01,0 days 00:44:25,572 days 10:19:30.674328,C++,0.0
AiletS,2022-02-13 16:34:15,349 days 04:02:31,33 days 09:40:10.674328,C++,0.02857142857142857
Ajinoko,2022-11-13 17:45:16,81 days 22:48:50,27 days 13:42:50.674328,C++,0.05555555555555555
Akari__,2021-03-13 01:13:43,617 days 13:05:26,102 days 15:57:47.674328,Python,1.0
Akatsuki30,2021-11-14 17:10:25,0 days 01:17:08,473 days 11:49:23.674328,C++,0.0
AkhilSharma574,2022-08-12 00:55:21,0 days 00:00:00,203 days 05:21:35.674328,Python,1.0
Akijin_007,2021-03-08 16:05:48,692 days 18:50:02,31 days 19:21:06.674328,PyPy,0.08139534883720931
Akiya12,2022-11-14 15:09:25,1 days 19:09:55,106 days 19:57:36.674328,Python,1.0
Akshita_rai,2022-10-30 16:17:27,0 days 00:00:00,123 days 13:59:29.674328,Python,1.0
Albonion,2021-04-28 22:34:09,0 days 00:00:00,673 days 07:42:47.674328,C,0.0
Alex0724,2021-12-12 17:54:20,61 days 23:35:05,383 days 12:47:31.674328,C++,0.0
AlexanderLee,2023-02-08 10:09:48,0 days 00:00:00,22 days 20:07:08.674328,Python,1.0
Alfalfa0709,2021-03-06 21:45:35,567 days 23:58:45,158 days 08:32:36.674328,C++,0.0
Alice_foo_foo,2021-03-10 12:42:35,0 days 00:00:00,722 days 17:34:21.674328,C++,0.0
All3,2022-07-03 15:51:34,0 days 02:48:01,242 days 11:37:21.674328,Python,1.0
AllDirections,2021-03-10 10:13:18,697 days 07:36:53,25 days 12:26:45.674328,C++,0.0
Almach3D,2022-05-28 15:07:51,251 days 23:31:20,26 days 15:37:45.674328,PyPy,0.046511627906976744
