main_lang,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
C,80.94444444444444,95.6875,,141.0,47.0,10.0,29.9,0.0,0.0
C#,337.6896551724138,213.11111111111111,179.33333333333334,111.75,96.72727272727273,3.0,10.6,41.857142857142854,0.5
C++,341.2800899887514,173.6980728051392,112.06896551724138,142.99447513812154,111.52307692307693,68.87096774193549,46.203508771929826,22.926470588235293,2.7232142857142856
Java,332.92,219.41666666666666,201.75,78.25,111.5,32.166666666666664,68.375,18.125,11.0
PHP,280.2,0.0,0.0,,72.33333333333333,40.44444444444444,10.090909090909092,,
PyPy,348.2723004694836,211.44329896907217,227.06666666666666,273.2857142857143,156.35106382978722,107.09677419354838,46.20253164556962,25.795180722891565,3.5609756097560976
Python,180.02158273381295,75.8943661971831,76.3529411764706,59.542857142857144,72.36708860759494,52.02597402597402,32.373831775700936,7.224489795918367,1.8620689655172413
Ruby,257.8,123.5,82.25,,79.8,31.0,37.285714285714285,32.333333333333336,
Rust,396.2844827586207,280.18918918918916,163.5,185.42857142857142,188.22727272727272,71.3076923076923,69.6842105263158,47.3,5.555555555555555
Text,297.3333333333333,8.875,107.25,97.5,160.25,25.77777777777778,44.833333333333336,28.2,2.2
misc,313.2708333333333,159.33333333333334,39.0,287.57142857142856,92.7,52.388888888888886,32.07692307692308,45.833333333333336,3.5
