python_rate,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
00%+,388.715953307393,488.8072289156627,454.6510067114094,294.84313725490193,251.53246753246754,225.8849840255591,165.8589108910891,93.06164383561644,28.522988505747126
10%+,263.6216216216216,313.26666666666665,137.0,42.2,150.23529411764707,75.88888888888889,92.83333333333333,58.375,28.5
20%+,254.26923076923077,256.35714285714283,26.0,119.625,209.8,112.0909090909091,86.36363636363636,67.0,30.0
30%+,341.6,297.90909090909093,,302.0,112.0,172.375,86.5,66.3076923076923,
40%+,371.25,213.57142857142858,,236.0,174.85714285714286,73.0,98.0909090909091,78.0,
50%+,384.06666666666666,295.6363636363636,495.0,30.0,164.83333333333334,185.16666666666666,104.18181818181819,89.33333333333333,28.0
60%+,379.8,557.4,298.5,364.3333333333333,189.5,122.0,133.0,76.8,27.333333333333332
70%+,424.0,362.6666666666667,,312.0,294.6666666666667,91.5,133.5,86.375,
80%+,353.1,422.0,25.0,240.8,307.5,142.0,134.0,,26.5
90%+,636.0,629.0530973451328,572.6153846153846,459.8,312.5846153846154,265.3114754098361,186.2375,108.1937984496124,27.458333333333332
