main_lang,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
C,937.6939078751857,862.1338221814849,814.1946006749156,718.4893992932862,633.3916666666667,553.1906103286385,499.48470588235296,408.4418604651163,328.1716129032258,241.33711340206185,177.96774193548387,89.05680473372782,30.065217391304348
C#,845.1737089201878,832.785100286533,762.9545454545455,700.1020408163265,596.597609561753,525.1183673469387,478.34615384615387,377.9310344827586,311.5541401273885,225.74770642201835,154.4450867052023,74.7926267281106,27.628099173553718
C++,767.619995851483,733.5074055342822,673.0267919624113,606.638442381707,527.8234601144396,473.6810555216596,403.7913526378421,334.5850758101278,262.81502259622874,204.1298199385156,143.63707719695745,79.50263435194942,27.410384068278805
Go,871.520325203252,828.8291139240506,743.8888888888889,610.6769230769231,561.7105263157895,510.07216494845363,465.3,393.32954545454544,300.27710843373495,237.05555555555554,154.8673469387755,81.28235294117647,22.5
Java,865.9099639855942,859.6082677165355,776.1663157894736,691.6504723346828,589.3862815884477,539.4331797235023,479.7402862985685,396.8151382823872,316.235939643347,235.23953488372092,165.68388683886837,85.01680672268908,27.7985347985348
JavaScript,952.1229946524064,886.3416666666667,790.1044776119403,705.623076923077,625.2666666666667,578.8779342723004,471.0204081632653,426.89130434782606,333.8917525773196,251.6351931330472,170.00460829493088,92.56111111111112,30.4609375
PHP,967.3611111111111,902.8571428571429,837.4367816091954,779.75,630.15625,574.5064102564103,494.76666666666665,419.06315789473683,323.651376146789,257.6666666666667,174.9438202247191,94.35779816513761,26.166666666666668
PyPy,539.4469696969697,563.7447833065811,528.0533049040512,479.5403225806452,409.99511400651465,377.0498442367601,331.6489361702128,270.6,229.55945419103313,157.40684410646386,122.08492569002124,74.26016260162602,22.387218045112782
Python,807.146185764443,775.7759530791789,732.5319076714188,646.4389558232932,564.0405684754522,506.81557821653286,442.79048656499634,363.31681415929205,303.2454516437919,219.88627021101672,149.23950699533646,87.11262699564587,25.0659760087241
Ruby,904.0993150684932,834.6122448979592,748.36875,661.7658227848101,590.2051282051282,517.3125,470.3267973856209,356.0993788819876,302.17808219178085,223.69078947368422,158.2377049180328,90.62237762237763,25.59722222222222
misc,795.20625,738.1219512195122,726.242718446602,657.7286821705426,558.259375,469.4765100671141,436.2181818181818,361.6618181818182,301.1901408450704,228.3954372623574,155.17004048582996,74.86026200873363,23.572327044025158
