python_rate,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
00%+,806.0483406705046,769.6197477770675,703.9968472109944,630.9989604007183,549.6849438513794,491.97514866979657,420.2816110927699,348.22528283325136,273.7157531976937,212.25010636789108,148.53723618765963,81.01680493512019,27.501996577296065
10%+,537.927374301676,556.0060120240481,509.0725552050473,423.4194756554307,371.51794871794874,356.29758713136727,284.7276422764228,233.0311111111111,168.84444444444443,121.61471861471861,92.90173410404624,60.76027397260274,19.847826086956523
20%+,584.8024691358024,550.5287081339712,502.87250996015933,442.2,380.75272727272727,338.67576791808875,293.4334975369458,242.06486486486486,200.70232558139534,140.3793103448276,103.70503597122303,62.08527131782946,22.618181818181817
30%+,533.4177777777778,539.141592920354,521.251256281407,442.0469798657718,373.35497835497836,339.79377431906613,309.224,241.23611111111111,211.83098591549296,156.00602409638554,114.61666666666666,70.48484848484848,22.779661016949152
40%+,526.9558823529412,528.7194244604317,471.9300699300699,432.3904109589041,352.23560209424085,313.86829268292684,298.94029850746267,236.15533980582524,201.48031496062993,147.84671532846716,87.18072289156626,59.278481012658226,16.85
50%+,573.3348623853211,623.9230769230769,558.0546448087432,506.93854748603354,401.98268398268397,355.2406015037594,348.4684210526316,282.6279069767442,233.2484076433121,184.31413612565444,118.65217391304348,66.352,27.154929577464788
60%+,594.9282511210762,579.7002652519894,563.0722222222222,467.8,385.6448598130841,346.22222222222223,317.6967741935484,308.2015503875969,225.34177215189874,158.33333333333334,122.5691056910569,64.48181818181818,21.78723404255319
70%+,596.8540772532189,580.4289855072464,540.8103448275862,429.8134328358209,406.1363636363636,410.59832635983264,342.2751677852349,242.1478260869565,215.992700729927,158.28275862068966,104.45081967213115,59.58119658119658,23.862745098039216
80%+,616.7425742574258,624.2516411378556,587.8348214285714,513.5895953757225,403.0938511326861,396.5608308605341,316.5879120879121,265.0691823899371,238.3523316062176,157.77294685990339,109.15300546448087,62.858108108108105,20.055555555555557
90%+,913.5985025737015,860.4087979826282,794.4816159782115,708.6673819742489,624.8547717842324,549.5606871303858,482.3862232779097,389.04353562005275,323.98249801113764,234.60241773002014,158.28727714748786,91.21595460614152,25.39830508474576
